event_id,title,hijri_year,lunar_month,gregorian_year,details,source_url
1,ولادة النبي محمد بن عبدالله صلى الله عليه وسلم .,53 ق هـ,,571,"اختلفَ أهلُ السِّيَر والتَّاريخِ في تحديدِ يومِ وشهرِ وِلادتِه صلى الله عليه وسلم واتَّفقوا على أنَّ مِيلادَه صلى الله عليه وسلم كان يومَ الاثنينِ من عامِ الفيلِ.قال ابنُ القيِّم: ""لا خِلافَ أنَّه وُلِدَ صَلَّى اللَّهُ عَليهِ وسلَّم بجَوفِ مكَّة، وأنَّ مَولِدَه كان عامَ الفيلِ"". عنِ ابنِ عبَّاس رضِي الله عنهُما أنَّه قال: (وُلِدَ رسولُ الله صلى الله عليه وسلم عامَ الفيلِ)، وهو الَّذي لا يَشكُّ فيه أحدٌ من العلماءِ. ونقل خليفةُ بنُ خيَّاط وابنُ الجزَّار وابنُ دِحيةَ وابنُ الجوزيِّ فيه الإجماعَ. وأمَّا مولدُه يومَ الاثنينِ، فعن أبي قَتادةَ الأنصاريِّ رضي الله عنه قال: "" سُئل صلى الله عليه وسلم عن صومِ يومِ الاثنينِ؟ قال: ""ذاكَ يومٌ وُلدتُ فيهِ، ويومٌ بُعثتُ أو أُنزلَ عليَّ فيهِ"" . قال ابنُ كَثيرٍ: ""وأبعدَ بل أخطأَ مَن قال: وُلِدَ يومَ الجُمعةِ لِسبعَ عشرةَ خلتْ من ربيعٍ الأوَّلِ"". أمَّا موضعُ الخِلافِ فقد كان في تحديدِ الشَّهرِ واليومِ منه، رَوى ابنُ إسحاقَ عن نَفَرٍ من أصحابِ رسولِ الله صلى الله عليه وسلم قالوا له: يا رسولَ الله، أخبرنا عن نَفسِك. قال: (نعمْ، أنا دعوةُ أبي إبراهيمَ، وبُشرى عيسى، ورأتْ أمِّي حين حملتْ بي أنَّه خرج منها نورٌ أضاءَ لها قُصورَ الشَّام) . وكانت وِلادتُه صلى الله عليه وسلم بعدَ وفاةِ والدِه عبدِ الله، حيث كان حَمْلًا في بطنِ أمِّه حين تُوفِّي والدُه، فنشأ صلى الله عليه وسلم يتيمًا. وكانت وِلادتُه في دارِ أبي طالبٍ بِشِعبِ بني هاشمٍ.",https://dorar.net/history/event/1
2,حادِثةُ شَقِّ صدرِ النَّبيِّ صلَّى الله عَليهِ وسلَّم الأُولى .,49 ق هـ,,575,"عن أنسِ بنِ مالكٍ: أنَّ رسولَ الله صلَّى الله عَليهِ وسلَّم أتاهُ جبريلُ صلَّى الله عَليهِ وسلَّم وهو يلعبُ مع الغِلمانِ، فأخذهُ فصرعهُ، فشَقَّ عن قَلبِه، فاستخرجَ القلبَ، فاستخرجَ منه عَلَقَةً، فقال: هذا حَظُّ الشَّيطانِ منكَ، ثمَّ غسلهُ في طِسْتٍ من ذهبٍ بماءِ زمزمَ، ثمَّ لَأَمَهُ، ثمَّ أعادهُ في مكانِه، وجاء الغِلمانُ يَسعَون إلى أمِّه -يعني ظِئْرَهُ-فقالوا: إنَّ محمَّدًا قد قُتل، فاستقبلوه وهو مُنْتَقِعُ اللَّونِ"". قال أنسٌ: «وقد كنتُ أَرى أثرَ ذلكَ المِخْيَطِ في صدرِه».",https://dorar.net/history/event/2
3,وفاة أم النبي آمنة بنت وهب وحضانة أم أيمن له صلى الله عليه وسلم .,48 ق هـ,,575,لمَّا بَلَغَ رسولُ الله صلَّى اللهُ عليه وسلَّم سِتَّ سنينَ، خرجَتْ به أُمُّه السيِّدةُ آمنةُ بنتُ وهبٍ إلى أخوالِه بني عَديِّ بن النَّجَّار تَزورُهم به، ومعه حاضِنَتُه أمُّ أيمنَ رَضي اللهُ عنها، وهم على بَعيرَين، فنَزَلَت به أُمُّه في دارِ النابغةِ عند قبرِ أبيه عبدِ الله بن عبدِ المُطَّلِب، فأقامَت به عند أخوالِه شهرًا، ثم رَجَعَت به أُمُّه إلى مكةَ، فلمَّا كانوا بالأبواءِ توُفِّيَت أُمُّه آمِنةُ بنتُ وهبٍ، ورَجَعَت به أُمُّ أيمنَ رَضي اللهُ عنها -واسمُها: بَرَكةُ بِنتُ ثَعلَبةَ بنِ حِصنٍ-، وكانت أمُّ أيمنَ رَضي اللهُ عنها تحبُّ النبيَّ صلَّى اللهُ عليه وسلَّم حُبًّا شديدًا وتَعتني به غايةَ الاعتِناءِ، وتَحوطُه برِعايَتِها وشَفقَتِها، وكان النبيُّ صلَّى اللهُ عليه وسلَّم يَبَرُّها ويُحسِنُ إليها، ولمَّا كَبِرَ صلَّى اللهُ عليه وسلَّم أعتَقَها، ثم أنكَحَها زيدَ بنَ حارِثةَ رَضي اللهُ عنه الذي أنجَبَت منه أُسامةَ بنَ زيدٍ رَضي اللهُ عنهما، وقد توُفِّيَت أمُّ أيمنَ رَضي اللهُ عنها بعدما توفِّي رسولُ الله صلَّى اللهُ عليه وسلَّم بخَمسةِ أشهُرٍ.,https://dorar.net/history/event/3
4,كفالة عبد المطلب رسول الله صلَّى اللهُ عليه وسلَّم ومعرفته بشأنه .,48 ق هـ,,575,"لمَّا تُوفِّيتِ آمنةُ والدةُ الرسول عليه الصلاة والسلام وعُمُرُه ستُّ سنواتٍ، صارت كَفالَتُه إلى جدِّه عبدِ المطلب بن هاشِمٍ، وكان عبدُ المطلب ذا شَرفٍ في قومِه وفَضلٍ، وكانت قُريشٌ تُسمِّيه الفضلَ؛ لسَماحتِه وفضلِه، وتولَّى أمْرَ الرِّفادةِ والسِّقايةِ بعد موتِ أبيه هاشمِ بن عبد مَنافٍ. وكان عبدُ المطلب يُحِبُّ حفيدَه مُحمَّدًا حبًّا عظيمًا، ويُقدِّمُه على سائِرِ بنيه، ويَرِقُّ عليه أكثَرَ مِن رِقَّتِه على أولادِهِ، قال ابنُ إسحاقَ‏ رحمه الله:‏ ""وكان رسولُ الله صلَّى اللهُ عليه وسلَّم مع جدِّه عبد المطلب بن هاشم -يعني: بعدَ موتِ أُمِّه آمنةَ بنتِ وَهبٍ-؛ فكان يُوضَعُ لعبد المطلب فِراشٌ في ظلِّ الكعبة، وكان بَنوه يَجلِسون حول فِراشِه ذلك حتى يَخرُج إليه، لا يَجلِسُ عليه أحدٌ مِن بنيه إجلالًا له؛‏ فكان رسولُ الله صلَّى اللهُ عليه وسلَّم يأتي وهو غُلامٌ جَفْرٌ -أي: ممُتلئٌ قويٌّ- حتى يَجلِسَ عليه؛ فيأخذُه أعمامُه ليؤخِّروه عنه؛ فيقول عبدُ المطلب إذا رَأى ذلك منهم‏:‏ دَعوا ابني؛ فوالله إنَّ له لَشأنًا، ثم يُجلِسُه معه على فِراشِه، ويَمسَحُ ظهرَه بيدِه، ويَسُرُّه ما يراه يَصنَعُ‏"". وكان عبدُ المطلب لا يَأكلُ طَعامًا إلَّا يقولُ:‏ ""عَلَيَّ بابني!"" فيُؤتَى به إليه‏.‏ ولمَّا حَضَرت عبدَ المطلب الوفاةُ أوصى أبا طالبٍ بحِفظِ رسولِ الله صلَّى اللهُ عليه وسلَّم وحياطَتِه.",https://dorar.net/history/event/4
5,وفاة عبد المطلب ووصيته لأبي طالب برسول الله صلَّى اللهُ عليه وسلَّم .,46 ق هـ,,577,"لمَّا بَلَغَ رسولُ الله صلَّى اللهُ عليه وسلَّم ثَمانيَ سنواتٍ توُفِّي جدُّه عبد المطلب. وكان عبدُ المُطَّلِب لمَّا حَضَرته الوفاةُ أوصى ابنَه أبا طالبٍ بحِفظِ رسول اللَّه صلَّى اللهُ عليه وسلَّم، وحياطَتِه، والقيامِ عَليهِ، وأوصَى به إلى أبي طالِبٍ؛ لأنَّ عبدَ الله -والِدَ النبيِّ صلَّى اللهُ عليه وسلَّم- وأبا طالبٍ كانا لأُمٍّ واحدةٍ، فلمَّا مات عبدُ المطلب كان أبو طالِبٍ هو الذي يَلي أمْرَ رسولِ اللَّه صلَّى اللهُ عليه وسلَّم بعد جدِّه. ورَوَى ابنُ سعدٍ، وابنُ عساكِرَ عن ابن عبَّاسٍ رَضي اللهُ عنهما، وغَيرِه، قالوا: لمَّا توُفِّيَ عبدُ المطلب قَبَضَ أبو طالبٍ رسولَ اللَّه صلَّى اللهُ عليه وسلَّم فكان يكونُ معه، وكان يُحِبُّه حبًّا شديدًا لا يُحِبُّ وَلَدَه مِثله، وكان لا يَنامُ إلَّا إلى جَنبِه، وكان يَخُصُّه بالطَّعامِ، وكان عيالُ أبي طالِبٍ إذا أكلوا جميعًا أو فُرادَى لم يَشبَعوا، وإذا أكَل معهم رسولُ اللَّه صلَّى اللهُ عليه وسلَّم شَبِعوا. وكان أبو طالِبٍ إذا أراد أن يُغدِّيَهم أو يُعشِّيَهم يقول: كما أنتُم حتى يَحضُرَ ابني. فيَأتي رسولُ اللَّه صلَّى اللهُ عليه وسلَّم فيأكُلُ معهم فيُفضِلون من طَعامِهم، وإن لم يَكُن معهم لم يُشبِعْهم، وإن كان لَبنًا شَرِبَ هو أوَّلَهم ثم يتناوَلُ العيالُ القَعْبَ -إناءٌ ضخمٌ كالقَصْعةِ- فيَشرَبون منه فيُروَون عن آخِرِهم من القَعبِ الواحِدِ، وإن كان أحدُهم لَيَشرَبُ قَعبًا وَحدَه، فيقول أبو طالبٍ: ""إنَّكَ لَمُبارَكٌ!"".",https://dorar.net/history/event/5
6,سفر النبي صلَّى اللهُ عليه وسلَّم مع عمه أبي طالب إلى الشام .,42 ق هـ,,581,"لمَّا تمَّ للنبيِّ صلَّى اللهُ عليه وسلَّم من العُمُرِ اثنَتا عَشْرةَ سنةً، سافر عمُّه أبو طالِبٍ إلى الشَّامِ في رَكبٍ للتِّجارةِ، فأخَذهُ معه. ولمَّا نزلَ الرَّكبُ (بُصرَى) مرّوا على راهِبٍ هناك يُقال له (بَحيرَا)، وكان عليمًا بالإنجيلِ، خبيرًا بالنَّصرانيَّةِ، وهناك أبصرَ بَحيرَا النبيَّ صلَّى اللهُ عليه وسلَّم، فجَعَلَ يتأمَّلُه ويُكلِّمُه، ثم الْتَفَتَ إلى أبي طالبٍ فقال له: ما هذا الغُلامُ مِنكَ؟ فقال: ابني (وكان أبو طالِبٍ يَدعوه بابنِه؛ لشدَّةِ محبَّتِه له وشَفَقَتِه عليه). فقال له بَحيرَا: ما هو بِابنِك، وما ينبغي أن يكونَ أبو هذا الغُلامِ حيًّا. فقال: هو ابنُ أخي. قال: فما فَعَل أبوه؟ قال: مات وأُمُّه حُبلَى به. قال بَحيرَا: صدقتَ. فارجِعْ به إلى بلدِه واحذَرْ عليه يهودَ؛ فوالله لئنْ رأوْهُ هنا لَيَبْغُنَّهُ شرًّا؛ فإنَّه كائنٌ لابنِ أخيك هذا شأنٌ عظيمٌ. فأسرَع به أبو طالبٍ عائدًا إلى مكَّةَ. وروَى التِّرمذيُّ: أنَّ أبا طالبٍ خرج إلى الشَّامِ، وخَرَج معه النبيُّ صلَّى اللهُ عليه وسلَّم في أشياخٍ من قُرَيشٍ؛ فلمَّا أشرَفوا -اقتَرَبوا- على الرَّاهِب -يَعني: بَحيرَا- هَبَطوا فحَلُّوا رِحالَهم؛ فخَرَج إليهمُ الراهبُ، وكانوا قبل ذلك يَمرُّون به فلا يخرُجُ إليهم ولا يَلتفِتُ إليهم، قال: وهم يَحُلُّون رِحالَهم؛ فجَعَل يَتخلَّلُهمُ الرَّاهبُ حتى جاء فأخَذ بيَدِ رسولِ الله صلَّى اللهُ عليه وسلَّم، فقال: هذا سيِّدُ العالَمين، هذا رسولُ ربِّ العالَمين، يبعَثُه اللهُ رحمةً للعالَمين، فقال له أشياخٌ من قُريشٍ: ما عِلمُك؟ قال: إنَّكم حين أشرفتُم من العقبةِ لم يبقَ شجرٌ ولا حجرٌ إلا خرَّ ساجدًا، ولا يَسجُدانِ إلا لنبيٍّ، وإنِّي أعرِفُه بخاتَمِ النبوَّةِ أسفلَ من غُضروفِ كَتِفِه مثلِ التُّفَّاحةِ، ثم رَجَع فصَنَع لهم طعامًا، فلمَّا أتاهم به، وكان هو -أي: الرسولُ صلَّى اللهُ عليه وسلَّم- في رِعيةِ الإبلِ، قال: أرسِلوا إليه. فأقبَلَ صلَّى اللهُ عليه وسلَّم وعليه غَمامةٌ تُظِلُّه، فلما دنا من القَومِ، وَجَدَهم قد سَبَقوه إلى فيءِ -ظلِّ- الشَّجرةِ، فلمَّا جلس رسولُ الله صلَّى اللهُ عليه وسلَّم مالَ فَيءُ الشجرةِ عليه، فقال بَحيرَا: انظُروا إلى فَيءِ الشجرةِ مالَ عليه! قال: فبينما هو قائمٌ عليهم، وهو يُناشِدُهم ألَّا يَذهَبوا به إلى الرُّومِ؛ فإنَّ الرُّومَ إن رأوه عَرَفوه بالصِّفةِ فيقتُلونَه، فالْتفَتَ فإذا بسَبعةٍ قد أقبلوا من الرُّومِ فاستَقبَلَهم، فقال: ما جاء بكم؟ قالوا: جِئنا أنَّ هذا النبيَّ خارِجٌ في هذا الشَّهرِ، فلم يبقَ طريقٌ إلَّا بُعِثَ إليه بأُناسٍ، وإنَّا قد أُخبِرنا خَبَرَه، فبُعِثنا إلى طريقِك هذا، فقال: هل خَلَفَكم أحدٌ هو خيرٌ منكم؟ قالوا: إنَّما أُخبِرنا خَبَرَه إلى طريقِكَ هذا. قال: أفَرَأيتم أمرًا أراد اللهُ أن يقضيَه، هل يستطيع أحدٌ من الناس ردَّه؟ قالوا: لا، قال: فبايَعوه، وأقاموا معه عنده. قال: فقال الرَّاهبُ بَحيرَا: أنشُدكم اللهَ أيُّكم وَليُّه؟ قال أبو طالب: فلم يزَل يُناشِدُه حتى ردَّه أبو طالِبٍ"".",https://dorar.net/history/event/6
7,حرب الفِجَار، وشهود النبي صلَّى اللهُ عليه وسلَّم لها .,39 ق هـ,شوال,585,لمَّا بلغَ رسولُ الله صلَّى اللهُ عليه وسلَّم أربعَ عشرةَ سنةً أو خمسَ عشرةَ سنةً هاجت حربُ الفِجارِ بين قُريشٍ ومَن معها مِن كِنانةَ وبين قَيسِ عَيلانَ، وهو من أعظمِ أيَّامِ العربِ، وكان الذي أهاجَها: أنَّ عُروةَ الرَّحَّالَ بنَ عتبة بن ربيعةَ أجارَ لَطيمةً للنُّعمانِ بن المنذرِ، فقال له البَرَّاضُ بنُ قيسٍ -أحدُ بني ضَمْرةَ بنِ بكرِ بنِ عبدِ مناةَ بنِ كنانةَ-: أتُجيرُها على كِنانةَ؟! قال: نعم، وعلى الخَلقِ. فخَرَجَ عُروةُ الرَّحَّالُ وخَرَج البَرَّاضُ يَطلُبُ غَفْلَتَه حتى إذا كان بِتَيْمَنَ ذي ظِلالٍ بالعاليةِ غَفَلَ عُروةُ؛ فوَثَب عليه البَرَّاضُ فقَتَله في الشَّهرِ الحَرامِ؛ فلذلك سُمِّي الفِجارَ؛ فأتى آتٍ قُريشًا فقال: إنَّ البَّرَّاضَ قد قَتَل عُروةَ وهو في الشَّهرِ الحَرامِ بعُكاظٍ، فارتَحَلوا وهوازِنُ لا تشعُرُ، ثم بلغهمُ الخبرُ فاتَّبَعوهم فأدركوهم قبل أن يدخلوا الحرمَ، فاقتتلوا حتى جاء الليلُ ودخلوا الحرمَ فأمسَكَت عنهم هوازِنُ ثم الْتَقَوا بعد هذا اليومِ أيَّامًا عديدةً والقومُ يتساندون، وعلى كلِّ قَبيلٍ من قُريشٍ وكِنانةَ رئيسٌ منهم، وعلى كل قَبيلٍ من قيسٍ رئيسٌ منهم. وشَهِد رسولُ الله صلَّى اللهُ عليه وسلَّم بعضَ أيَّامِهم، وهو يومُ النَّخلةِ، وكان لرسولِ الله صلَّى اللهُ عليه وسلَّم يومئذٍ أربعَ عشرةَ سنةً. ويُقالُ: عِشرون سَنةً. وبعد مُنصَرَفِهم منه في ذي القِعدةِ كان حِلفُ الفُضولِ، وسببُه: أنَّ رجلًا من زَبيدٍ من أهلِ اليمن باع سلعةً من العاصِ بن وائلٍ السَّهميِّ فمَطَله بالثَّمنِ؛ فصَعِدَ أبا قُبَيسٍ وصاح وذَكَر ظِلامَتَه. فعَقَدت قُريشٌ حِلفَ الفُضولِ لنُصرةِ المظلوم، وقد شَهِد النبيُّ صلَّى اللهُ عليه وسلَّم هذا الحِلفَ معهم.,https://dorar.net/history/event/7
8,حِلْفُ الفُضولِ بين قبائل قريش .,33 ق هـ,ذي,591,"وقع حِلفُ الفُضولِ في الشَّهرِ الحرامِ, تَداعتْ إليهِ قبائلُ من قُريشٍ, بَنو هاشمٍ، وبَنو المطَّلبِ، وأسدُ بنُ عبدِ العُزَّى، وزُهْرَةُ بنُ كِلابٍ، وتَيْمُ بنُ مُرَّةَ، فاجتمعوا في دارِ عبدِ الله بنِ جُدْعانَ التَّيميِّ؛ لِسِنِّه وشَرفِه، فتعاقدوا وتعاهدوا على ألَّا يجدوا بمكَّة مظلومًا من أهلِها وغيرِهم من سائرِ النَّاس إلَّا قاموا معه، وكانوا على مَن ظلمهُ حتَّى تُرَدَّ عَليهِ مَظلمتُه، وشهِد هذا الحِلفَ رسولُ الله صلى الله عليه وسلم وقال عنه: (لقد شَهِدتُ في دارِ عبدِ الله بنِ جُدْعانَ حِلفًا ما أحبُّ أنَّ لي بهِ حُمْرَ النَّعَمِ، ولو أُدْعى بهِ في الإسلامِ لأَجبتُ). وهذا الحِلفُ تُنافي رُوحهُ الحَميَّة الجاهليَّة التي كانت العصبيَّة تُثيرها، ويُقال في سببِ هذا الحِلفِ: إنَّ رجلًا من زُبَيْد قَدِم مكَّةَ ببِضاعةٍ، واشتراها منه العاصُ بنُ وائلٍ السَّهميُّ، وحَبس عنه حقَّه، فاستعدى عليهِ الأَحلافَ عبدَ الدَّارِ ومَخزومًا، وجُمَحًا, وسَهْمًا وعَدِيًّا فلم يَكترِثوا له، فَعَلَا جبلَ أبي قُبَيْسٍ، ونادى بأشعارٍ يصِف فيها ظلامتَه رافعًا صوتَه، فمشى في ذلك الزُّبيرُ بنُ عبدِ المطَّلب، وقال: ما لهذا مَتْرَكٌ. حتَّى اجتمعوا فعقدوا الحِلفَ الذي عُرف بحِلفِ الفُضولِ, ثمَّ قاموا إلى العاصِ بنِ وائلٍ فانتزعوا منه حَقَّ الزُّبيديِّ. وسببُ تَسميتِه بهذا الاسمِ: أنَّ ثلاثةً من قبيلةِ جُرْهُمَ هُم: الفضلُ بنُ فَضالةَ، والفضلُ بنُ وَداعةَ، والفضلُ بنُ الحارثِ؛ قد عقدوا قديمًا نظيرًا لهذه المُعاهدةِ، فلمَّا أَشبهَ فعلُ القُريشيِّين فعلَ هؤلاء الجُرهُميِّين الأُوَلِ المُسَمَّوْنَ جميعًا بالفضلِ سُمِّيَ الحِلفُ: حِلفُ الفُضولِ.",https://dorar.net/history/event/8
9,زَواجُ النَّبيِّ صلَّى الله عَليهِ وسلَّم من خَديجةَ بنتِ خُويلدٍ رضِي الله عنها .,28 ق هـ,,595,اختلفتْ الأقوالُ في عُمُرِ النَّبيِّ صلى الله عليه وسلم وعُمُرِ خَديجةَ حين زَواجهِما، فقِيل: كان خمسًا وعِشرين. وقِيل: سبعًا وعِشرين. وقِيل: ثلاثين. وقِيل: غيرَ ذلك، وأمَّا عُمُرُ خَديجةَ فكذلك تضاربتِ الأقوالُ بين خمسٍ وثلاثين وأربعين وغيرِ ذلك، لمَّا سمِعتْ خَديجةُ رضي الله عنها بالنَّبيِّ صلى الله عليه وسلم وبأمانتِه و أخلاقِه الكريمةِ، فقد جاء في رِوايةٍ: أنَّ أُختَ خَديجةَ قد اسْتَكْرَتْ رسولَ الله صلى الله عليه وسلم وشَريكَه، فلمَّا قَضَوْا السَّفرَ بقِي لهم عليها شيءٌ، فجعل شَريكُه يأتيهِم ويتقاضاهُم، ويقولُ لمحمَّدٍ (صلى الله عليه وسلم): انطلقْ. فيقولُ: اذهبْ أنت، فإنِّي أستحيي. فقالتْ مَرَّةً -وقد أتاهُم شَريكُه-: أين محمَّدٌ لا يجيءُ معك؟ قال: قد قلتُ له، فزعَم أنَّه يَستحيي، فذكرتْ ذلك لأختِها خَديجةَ، فقالتْ: ما رأيتُ رجلًا قَطُّ أشدَّ حياءً، ولا أَعَفَّ ولا......من محمَّدٍ (صلى الله عليه وسلم). فوقع في نَفْسِ أختِها خَديجةَ، فبعثتْ إليهِ، فقالتْ: ائْتِ أبي فاخطُبْ إليهِ. فقال: أبوكِ رجلٌ كثيرُ المالِ وهو لا يفعلُ. قالتْ: انطلقْ فالقِه وكَلِّمْهُ، ثمَّ أنا أَكفيكَ. وقد تزوَّجها النَّبيُّ صلى الله عليه وسلم وهي ثَيِّبٌ.,https://dorar.net/history/event/9
10,سفر النبي صلَّى اللهُ عليه وسلَّم للمرة الثانية إلى الشام .,28 ق هـ,ذي,596,"لمَّا بلغَ رسولُ الله صلَّى اللهُ عليه وسلَّم خَمسًا وعِشرين سنةً وليس له بمكَّةَ اسمٌ إلا ""الأمينُ""؛ لِمَا تكامَلَ فيه من خِصال الخير، قال له عمُّه أبو طالِبٍ: ""يا ابنَ أخي، أنا رجلٌ لا مالَ لي، وقد اشتَدَّ الزَّمانُ علينا، وألَحَّت علينا سِنونَ مُنكَرةٌ، وليس لنا مادَّةٌ ولا تجارةٌ، وهذه عيرُ قومِك قد حَضَرَ خروجُها إلى الشامِ، وخديجةُ بِنتُ خوَيلدٍ تبعَثُ رِجالًا من قومِك في عيرانِها، فيتَّجِرون لها في مالِها، ويُصيبون مَنافِعَ، فلو جِئتَها فوَضَعْتَ نفسَك عليها لأسرَعَت إليك، وفَضَّلَتْكَ على غيرِك، لِمَا يبلُغُها عنك من طهارَتِك، وإن كنتُ لَأكرَهُ أن تأتيَ الشامَ، وأخافُ عليك من يهودَ، ولكن لا نَجِدُ من ذلك بُدًّا"". وكانتْ خديجةُ بِنتُ خوَيلدٍ امرأةً تاجرةً ذاتَ شرفٍ ومالٍ كثيرٍ وتجارةٍ تبعَثُ بها إلى الشَّامِ، فتكونُ عِيرُها كعامَّةِ عِيرِ قُرَيشٍ، وكانت تستأجِرُ الرِّجالَ وتدفَعُ إليهمُ المالَ مُضاربةً، وبلغ خَديجةَ ما كان من صِدقِ حديثِ النبيِّ صلَّى اللهُ عليه وسلَّم وعِظَمِ أمانَتِه، وكرمِ أخلاقِه، فأرسلَتْه في تجارَتِها، فخَرَج مع غُلامِها مَيسَرةَ حتى قدِمَ الشامَ، وجعل عُمومَتُه يوصون به أهلَ العيرِ حتى قدِمَ الشامَ، فنَزَلَا في سوقِ بُصرَى في ظلِّ شجرةٍ قريبًا من صَومعةِ راهِبٍ يُقال له: نِسْطُورَا، فاطَّلَع الرَّاهبُ إلى مَيسَرةَ -وكان يعرِفُه-؛ فقال: ""يا مَيسَرةُ، مَن هذا الذي نزَل تحتَ هذه الشجرةِ؟""، فقال مَيسَرةُ: ""رجلٌ من قريش من أهلِ الحرمِ"". فقال له الرَّاهبُ: ""ما نَزَل تحتَ هذه الشجرةِ إلا نبيٌّ"". ثم باع رسول الله صلَّى اللهُ عليه وسلَّم سِلعتَه -يعني: تِجارَتَه- التي خَرَج بها، واشترى ما أراد أن يشتريَ، ثم أقبل قافِلًا إلى مكةَ ومعه مَيسَرةُ؛ فلما قدِمَ مكةَ على خديجةَ بمالِها باعت ما جاء به بأضعَفَ أو قريبًا، وحدَّثها مَيسَرةُ عن قَولِ الراهبِ، وما رَأى من شأنِ النبيِّ صلَّى اللهُ عليه وسلَّم، فعَرَضَت نَفسَها عليه رَضي اللهُ عنها، وكانتْ أوسَطَ نساءِ قُريشٍ نَسَبًا وأعظمَهُنَّ شَرَفًا، وأكثَرَهُنَّ مالًا، فلمَّا قالت ذلك لرسولِ الله صلَّى اللهُ عليه وسلَّم ذَكَر ذلك لأعمامِه، فخرج معه عمُّه حمزةُ حتى دَخَل على خويلِدِ بنِ أسَدٍ فخَطَبها إليه، فتزوَّجها النبيُّ صلَّى اللهُ عليه وسلَّم، وكانتْ أوَّلَ امرأةٍ تزوَّجَها، ولم يتزوَّج عليها غيرَها حتى ماتت رَضي اللهُ عنها.",https://dorar.net/history/event/10
