event_id,title,hijri_year,lunar_month,gregorian_year,details,source_url,location_name,geo_coordinates
1,"Naissance du Prophète Muhammad ibn Abdullah, que la paix et les bénédictions d'Allah soient sur lui.",53 ق هـ,,571,"Les historiens et biographes divergent sur le jour et le mois de sa naissance, que la paix soit sur lui. Ils s'accordent cependant sur le fait que sa naissance, que la paix soit sur lui, eut lieu un lundi de l'année de l'Éléphant. Ibn al-Qayyim a dit : ""Il n'y a pas de divergence sur le fait qu'il est né, que la paix soit sur lui, dans la partie intérieure de La Mecque, et que sa naissance eut lieu l'année de l'Éléphant"". D'après Ibn Abbas, que Dieu soit satisfait d'eux, il a dit : (Le Messager de Dieu, que la paix soit sur lui, est né l'année de l'Éléphant), et c'est ce dont aucun savant ne doute. Khalifa ibn Khayyat, Ibn al-Jazar, Ibn Dihya et Ibn al-Jawzi ont rapporté un consensus à ce sujet. Quant à sa naissance un lundi, d'après Abu Qatada al-Ansari, que Dieu soit satisfait de lui, il a dit : ""On interrogea le Prophète, que la paix soit sur lui, sur le jeûne du lundi. Il dit : ""C'est un jour où je suis né, et un jour où j'ai été envoyé ou où la révélation m'a été descendue"". Ibn Kathir a dit : ""Celui qui dit qu'il est né le vendredi 17 Rabi' al-Awwal est loin de la vérité, voire erroné"". Le point de divergence concernait la détermination du mois et du jour de celui-ci. Ibn Ishaq a rapporté d'un groupe de compagnons du Messager de Dieu, que la paix soit sur lui, qu'ils lui dirent : ""Ô Messager de Dieu, parle-nous de toi"". Il dit : (Oui, je suis la prière de mon père Abraham, la bonne nouvelle de Jésus, et ma mère a vu, lorsqu'elle m'a porté, qu'une lumière est sortie d'elle et a illuminé pour elle les palais de la Syrie). Sa naissance, que la paix soit sur lui, eut lieu après le décès de son père Abdullah, car il était encore dans le ventre de sa mère lorsque son père mourut, et le Prophète, que la paix soit sur lui, grandit donc orphelin. Sa naissance eut lieu dans la maison d'Abu Talib, dans le quartier des Banu Hashim.",https://dorar.net/history/event/1,La maison d'Abou Talib dans le quartier des Banu Hashim,"21.4225,39.8262"
2,"Le premier incident de la fente de la poitrine du Prophète, que la paix et les bénédictions soient sur lui.",49 ق هـ,,575,"D'après Anas ibn Malik : Le Messager d'Allah, que la paix et les bénédictions soient sur lui, vint à lui Gabriel, que la paix et les bénédictions soient sur lui, alors qu'il jouait avec des enfants. Il le saisit et le jeta à terre, puis lui ouvrit la poitrine. Il en sortit le cœur, puis en retira une masse de sang caillé. Il dit : « Ceci est la part de Satan en toi. » Puis il le lava dans une cuve d'or avec de l'eau de Zamzam, puis il le referma, puis le remit à sa place. Les enfants vinrent en courant vers sa mère – c'est-à-dire sa nourrice – et dirent : « Muhammad a été tué ! » Ils le rencontrèrent alors qu'il avait le teint pâle. Anas dit : « J'ai vu la trace de cette couture sur sa poitrine. »",https://dorar.net/history/event/2,La Mecque honorée,"21.4225,39.8262"
3,"Décès d'Amina bint Wahb, mère du Prophète, et la tutelle d'Umm Ayman sur lui, que la paix et les bénédictions d'Allah soient sur lui.",48 ق هـ,,575,"Lorsque le Messager d'Allah, que la paix et les bénédictions d'Allah soient sur lui, eut atteint l'âge de six ans, sa mère, la noble Amina bint Wahb, sortit avec lui pour visiter ses oncles maternels, les Banu Adi ibn al-Najjar, en leur compagnie. Il y avait aussi sa nourrice, Umm Ayman, qu'Allah soit satisfaite d'elle, et ils voyageaient sur deux chameaux. Sa mère s'installa avec lui dans la demeure d'Al-Nabigha, près de la tombe de son père, Abd Allah ibn Abd al-Muttalib. Elle resta avec ses oncles maternels pendant un mois, puis sa mère le ramena à La Mecque. Alors qu'ils étaient à Al-Abwa, sa mère Amina bint Wahb mourut. Umm Ayman, qu'Allah soit satisfaite d'elle, le ramena. Son nom était Baraka bint Tha'laba ibn Hisn. Umm Ayman, qu'Allah soit satisfaite d'elle, aimait le Prophète, que la paix et les bénédictions d'Allah soient sur lui, d'un amour intense et prenait grand soin de lui, le protégeant par sa sollicitude et sa tendresse. Le Prophète, que la paix et les bénédictions d'Allah soient sur lui, la traitait avec respect et bienveillance. Lorsqu'il fut plus âgé, que la paix et les bénédictions d'Allah soient sur lui, il l'affranchit, puis il la maria à Zayd ibn Haritha, qu'Allah soit satisfait de lui, dont elle eut Usama ibn Zayd, qu'Allah soit satisfait d'eux. Umm Ayman, qu'Allah soit satisfaite d'elle, mourut cinq mois après la mort du Messager d'Allah, que la paix et les bénédictions d'Allah soient sur lui.",https://dorar.net/history/event/3,Al-Abwā',"23.35,39.05"
4,La prise en charge du Messager d'Allah par Abd al-Muttalib et sa connaissance de son statut.,48 ق هـ,,575,"Lorsque Amina, la mère du Messager, que la paix et les bénédictions soient sur lui, mourut alors qu'il avait six ans, sa tutelle revint à son grand-père Abd al-Muttalib ibn Hachim. Abd al-Muttalib était un homme d'honneur et de mérite parmi son peuple, et Quraysh le surnommait ""Al-Fadl"" (le méritant) en raison de sa générosité et de sa noblesse. Il avait pris en charge les fonctions de Rifaada (fourniture de nourriture aux pèlerins) et de Siqaaya (fourniture d'eau aux pèlerins) après la mort de son père Hachim ibn Abd Manaf. Abd al-Muttalib aimait son petit-fils Muhammad d'un amour immense, le préférant à tous ses autres fils et éprouvant pour lui plus de tendresse qu'il n'en éprouvait pour ses propres enfants. Ibn Ishaq, que Dieu ait pitié de lui, a dit : ""Le Messager de Dieu, que la paix et les bénédictions soient sur lui, était avec son grand-père Abd al-Muttalib ibn Hachim - c'est-à-dire après la mort de sa mère Amina bint Wahb. Un lit était installé pour Abd al-Muttalib à l'ombre de la Kaaba, et ses fils s'asseyaient autour de ce lit jusqu'à ce qu'il s'y installe, aucun de ses fils n'osant s'y asseoir en signe de respect pour lui. Le Messager de Dieu, que la paix et les bénédictions soient sur lui, venait alors, étant un jeune garçon fort et plein de vie, et s'asseyait dessus. Ses oncles le prenaient pour le faire reculer, mais Abd al-Muttalib, lorsqu'il voyait cela, disait : 'Laissez mon fils. Par Dieu, il aura une grande destinée.' Puis il le faisait asseoir avec lui sur son lit, lui caressait le dos de sa main, et était heureux de ce qu'il voyait faire."" Abd al-Muttalib ne mangeait pas un repas sans dire : ""Apportez-moi mon fils !"" et on le lui apportait. Lorsque la mort approcha Abd al-Muttalib, il recommanda à Abu Talib de veiller sur le Messager de Dieu, que la paix et les bénédictions soient sur lui, et de le protéger.",https://dorar.net/history/event/4,L'ombre de la Kaaba,"21.4225,39.8262"
5,"Mort d'Abd al-Muttalib et son testament à Abu Talib concernant le Messager de Dieu, que la paix et les bénédictions d'Allah soient sur lui.",46 ق هـ,,577,"Lorsque le Messager de Dieu, que la paix et les bénédictions soient sur lui, atteignit l'âge de huit ans, son grand-père Abd al-Muttalib mourut. Abd al-Muttalib, à l'approche de sa mort, avait recommandé à son fils Abu Talib de veiller sur le Messager de Dieu, que la paix et les bénédictions soient sur lui, de le protéger et de prendre soin de lui. Il le confia à Abu Talib car Abd Allah, le père du Prophète, que la paix et les bénédictions soient sur lui, et Abu Talib étaient issus de la même mère. Ainsi, après la mort d'Abd al-Muttalib, ce fut Abu Talib qui prit en charge les affaires du Messager de Dieu, que la paix et les bénédictions soient sur lui, après son grand-père.

Ibn Sa'd et Ibn Asakir rapportèrent, d'après Ibn Abbas, que Dieu soit satisfait d'eux, et d'autres, qu'ils dirent : Lorsque Abd al-Muttalib mourut, Abu Talib prit le Messager de Dieu, que la paix et les bénédictions soient sur lui, et il restait avec lui. Abu Talib l'aimait d'un amour intense, plus que ses propres enfants. Il ne dormait que près de lui et le privilégiait en matière de nourriture. Les enfants d'Abu Talib, qu'ils mangent tous ensemble ou séparément, ne se rassasiaient pas. Mais si le Messager de Dieu, que la paix et les bénédictions soient sur lui, mangeait avec eux, ils se rassasiaient.

Abu Talib, lorsqu'il voulait leur servir le déjeuner ou le dîner, disait : ""Attendez jusqu'à ce que mon fils arrive."" Le Messager de Dieu, que la paix et les bénédictions soient sur lui, venait alors et mangeait avec eux, et ils avaient encore des restes de leur nourriture. S'il n'était pas avec eux, ils ne se rassasiaient pas. S'il s'agissait de lait, il était le premier à en boire, puis les enfants prenaient le qab' (un grand récipient semblable à une jatte) et buvaient dedans jusqu'au dernier, se désaltérant tous d'un seul qab'. L'un d'eux pouvait même boire un qab' à lui seul. Abu Talib disait alors : ""Tu es vraiment béni !""",https://dorar.net/history/event/5,La Mecque honorable,"21.4225,39.8262"
6,"Le voyage du Prophète, que la paix et les bénédictions d'Allah soient sur lui, avec son oncle Abu Talib en Syrie.",42 ق هـ,,581,"Lorsque le Prophète, que la paix et les bénédictions d'Allah soient sur lui, eut douze ans, son oncle Abu Talib partit en Syrie avec une caravane pour le commerce, et il l'emmena avec lui. Lorsque la caravane s'arrêta à Busra, ils passèrent devant un moine nommé Bahira, qui était versé dans l'Évangile et expert en christianisme. C'est là que Bahira aperçut le Prophète, que la paix et les bénédictions d'Allah soient sur lui, et il se mit à l'observer et à lui parler. Puis il se tourna vers Abu Talib et lui demanda : ""Qui est ce jeune garçon pour toi ?"" Il répondit : ""Mon fils"" (Abu Talib l'appelait son fils, par amour et affection profonds pour lui). Bahira lui dit : ""Ce n'est pas ton fils, et le père de ce jeune garçon ne devrait pas être vivant."" Il dit : ""C'est mon neveu."" Il demanda : ""Et qu'est-il advenu de son père ?"" Il dit : ""Il est mort alors que sa mère était enceinte de lui."" Bahira dit : ""Tu dis la vérité. Rentre avec lui dans son pays et prends garde aux Juifs ; car par Allah, s'ils le voient ici, ils lui souhaiteront du mal ; car ton neveu aura une grande destinée."" Abu Talib se hâta de retourner à La Mecque avec lui.

Tirmidhi rapporta qu'Abu Talib sortit en Syrie, et le Prophète, que la paix et les bénédictions d'Allah soient sur lui, sortit avec lui, ainsi que des notables de Quraysh. Lorsqu'ils approchèrent du moine (c'est-à-dire Bahira), ils descendirent et déchargèrent leurs montures. Le moine sortit à leur rencontre ; auparavant, ils passaient devant lui sans qu'il ne sorte à leur rencontre ni ne leur prête attention. Il dit : Alors qu'ils déchargeaient leurs montures, le moine se faufila parmi eux jusqu'à ce qu'il arrive et prenne la main du Messager d'Allah, que la paix et les bénédictions d'Allah soient sur lui, et dit : ""C'est le maître des mondes, c'est le Messager du Seigneur des mondes, Allah l'enverra comme miséricorde pour les mondes."" Certains notables de Quraysh lui dirent : ""Comment sais-tu cela ?"" Il dit : ""Lorsque vous êtes apparus depuis la côte, il n'est pas resté d'arbre ni de pierre qui ne se soit prosterné, et ils ne se prosternent que pour un prophète. Je le reconnais à la marque de la prophétie, sous le cartilage de son épaule, semblable à une pomme."" Puis il retourna et leur prépara un repas. Lorsqu'il leur apporta, et que le Prophète, que la paix et les bénédictions d'Allah soient sur lui, était en train de garder les chameaux, il dit : ""Envoyez-le chercher."" Le Prophète, que la paix et les bénédictions d'Allah soient sur lui, arriva, et un nuage l'ombrageait. Lorsqu'il s'approcha du peuple, il trouva qu'ils l'avaient devancé à l'ombre de l'arbre. Lorsque le Messager d'Allah, que la paix et les bénédictions d'Allah soient sur lui, s'assit, l'ombre de l'arbre se pencha sur lui. Bahira dit : ""Regardez l'ombre de l'arbre qui s'est penchée sur lui !"" Il dit : Et pendant qu'il se tenait devant eux, il les suppliait de ne pas l'emmener à Rome ; car si les Romains le voyaient, ils le reconnaîtraient à sa description et le tueraient. Il se tourna et vit sept hommes arriver de Rome. Il les rencontra et leur demanda : ""Qu'est-ce qui vous amène ?"" Ils dirent : ""Nous sommes venus car ce prophète doit apparaître ce mois-ci. Il n'y a pas une route sur laquelle des gens n'aient été envoyés, et nous avons été informés de sa nouvelle. Nous avons été envoyés sur ta route."" Il dit : ""Y a-t-il eu des gens envoyés après vous qui soient meilleurs que vous ?"" Ils dirent : ""Nous n'avons reçu la nouvelle de sa venue que sur ta route."" Il dit : ""Et si Allah a voulu décréter une chose, quelqu'un peut-il la repousser ?"" Ils dirent : ""Non."" Il dit : ""Alors faites-lui allégeance."" Et ils restèrent avec lui. Il dit : Le moine Bahira dit : ""Je vous adjure par Allah, qui est son gardien ?"" Abu Talib dit : Il ne cessa de le supplier jusqu'à ce qu'Abu Talib le ramène.",https://dorar.net/history/event/6,Busrâ,"32.5167,36.4833"
7,"La Guerre de Fijar, et le témoignage du Prophète (que la paix et les bénédictions d'Allah soient sur lui) à son sujet.",39 ق هـ,شوال,585,"Lorsque le Messager d'Allah, que la paix et les bénédictions d'Allah soient sur lui, eut quatorze ou quinze ans, la guerre de Fujar éclata entre Quraysh et ceux qui étaient avec eux de Kinana, et entre Qays Aylan. Ce fut l'un des plus grands jours des Arabes. Ce qui la déclencha fut que Urwah ar-Rahhal ibn 'Utbah ibn Rabi'ah accorda protection à une caravane de Nu'man ibn al-Mundhir. Al-Barrad ibn Qays, l'un des Banu Damrah ibn Bakr ibn 'Abd Manah ibn Kinana, lui dit : ""L'accordes-tu à Kinana ?"" Il répondit : ""Oui, et à toute la création."" Alors Urwah ar-Rahhal partit, et Al-Barrad partit à sa recherche pour le surprendre. Lorsqu'il fut à Tayman Dhi Dhilal, dans la région d'al-'Aliyah, Urwah fut surpris. Al-Barrad se jeta sur lui et le tua durant le mois sacré. C'est pourquoi on l'appela Fujar (la transgression). Un messager vint à Quraysh et dit : ""Al-Barrad a tué Urwah alors qu'il était dans le mois sacré à 'Ukaz."" Ils partirent, et les Hawazin n'en étaient pas conscients. Puis la nouvelle leur parvint, ils les poursuivirent et les rattrapèrent avant qu'ils n'entrent dans le Haram. Ils se battirent jusqu'à la nuit, puis entrèrent dans le Haram, et les Hawazin cessèrent de les poursuivre. Ils se rencontrèrent à nouveau pendant plusieurs jours, et les gens se soutenaient mutuellement. Chaque tribu de Quraysh et de Kinana avait un chef parmi eux, et chaque tribu de Qays avait un chef parmi eux. Le Messager d'Allah, que la paix et les bénédictions d'Allah soient sur lui, fut témoin de certains de leurs jours, le jour d'al-Nakhlah, et le Messager d'Allah, que la paix et les bénédictions d'Allah soient sur lui, avait alors quatorze ans. On dit vingt ans. Après leur retour de là, en Dhu al-Qi'dah, eut lieu l'alliance des Fudul. La raison en fut qu'un homme de Zabid, originaire du Yémen, vendit une marchandise à al-'As ibn Wa'il as-Sahmi, qui retarda le paiement. L'homme monta sur Abu Qubays et cria, mentionnant son injustice. Alors Quraysh conclut l'alliance des Fudul pour soutenir l'opprimé. Le Prophète, que la paix et les bénédictions d'Allah soient sur lui, fut témoin de cette alliance avec eux.",https://dorar.net/history/event/7,La Mecque honorable,"21.4225,39.8262"
8,L'alliance des vertueux entre les tribus de Quraysh.,33 ق هـ,ذي,591,"Le Pacte des Vertueux (Hilf al-Fudul) eut lieu durant le mois sacré. Des tribus de Quraysh s'y appelèrent mutuellement : les Banu Hashim, les Banu Muttalib, Asad ibn Abd al-Uzza, Zuhra ibn Kilab et Taym ibn Murra. Ils se réunirent dans la demeure d'Abd Allah ibn Jud'an al-Taymi, en raison de son âge et de son honneur. Ils contractèrent des alliances et des serments de ne trouver à La Mecque aucun opprimé, qu'il soit de ses habitants ou d'autres peuples, sans qu'ils ne se tiennent à ses côtés. Ils seraient contre celui qui l'avait opprimé jusqu'à ce que son tort lui soit réparé. Le Messager de Dieu, que la paix et les bénédictions soient sur lui, fut témoin de ce pacte et dit à son sujet : ""J'ai assisté dans la demeure d'Abd Allah ibn Jud'an à un pacte pour lequel je n'aurais pas voulu avoir les chamelles rouges. Si l'on m'y appelait dans l'Islam, je répondrais."" Cet esprit de ce pacte s'opposait à la fierté et à l'esprit de corps de la Jâhilîyah que l'attachement tribal suscitait. On dit, quant à la cause de ce pacte, qu'un homme de Zubaid arriva à La Mecque avec des marchandises, qu'Al-'As ibn Wa'il al-Sahmi lui acheta, et retint son dû. L'homme fit appel aux alliés : Abd ad-Dar, Makhzum, Jumah, Sahm et Adi, mais ils ne s'en soucièrent guère. Il monta alors sur le mont Abu Qubays et lança des vers décrivant son injustice, élevant sa voix. Zubayr ibn Abd al-Muttalib se rendit alors auprès de lui et dit : ""Il n'est pas juste de laisser cela sans suite."" Ils se réunirent alors et conclurent le pacte connu sous le nom de Pacte des Vertueux. Puis ils allèrent trouver Al-'As ibn Wa'il et lui arrachèrent le droit du Zubaidi. La raison de sa dénomination est que trois hommes de la tribu de Jurhum, à savoir : Al-Fadl ibn Fadalah, Al-Fadl ibn Wa'dah, et Al-Fadl ibn al-Harith, avaient conclu jadis une alliance similaire. Lorsque l'action des Quraysh ressembla à celle de ces premiers Jurhumites, tous nommés Al-Fadl, le pacte fut appelé Pacte des Vertueux.",https://dorar.net/history/event/8,La maison d'Abd Allah ibn Jud'an,"21.4225,39.8262"
9,"Le mariage du Prophète, que la paix et les bénédictions d'Allah soient sur lui, avec Khadija bint Khuwaylid, qu'Allah soit satisfait d'elle.",28 ق هـ,,595,"Les avis divergent sur l'âge du Prophète, que la paix et la bénédiction soient sur lui, et sur l'âge de Khadija lors de leur mariage. Il a été dit qu'il avait vingt-cinq ans. D'autres ont dit vingt-sept ans. D'autres encore trente ans. Et d'autres ont avancé d'autres âges. Quant à l'âge de Khadija, les avis ont également divergé, oscillant entre trente-cinq et quarante ans, et d'autres âges. Lorsque Khadija, que Dieu soit satisfait d'elle, entendit parler du Prophète, que la paix et la bénédiction soient sur lui, de son honnêteté et de ses nobles caractères, il est rapporté dans un récit que la sœur de Khadija avait engagé le Messager de Dieu, que la paix et la bénédiction soient sur lui, et son associé pour un voyage. Lorsqu'ils eurent terminé le voyage, il restait une somme due par eux. Son associé commença à venir les réclamer, disant à Muhammad (que la paix et la bénédiction soient sur lui) : ""Viens."" Il répondait : ""Va toi-même, car je suis gêné."" Une fois, alors que leur associé était venu, elle dit : ""Où est Muhammad ? Pourquoi ne vient-il pas avec toi ?"" Il répondit : ""Je lui ai dit, mais il prétend être gêné."" Elle rapporta cela à sa sœur Khadija, qui dit : ""Je n'ai jamais vu un homme plus pudique, ni plus chaste, ni... que Muhammad (que la paix et la bénédiction soient sur lui)."" Cela toucha le cœur de sa sœur Khadija, qui l'envoya chercher et lui dit : ""Va voir mon père et demande-lui ma main."" Il répondit : ""Ton père est un homme riche et il ne fera pas cela."" Elle dit : ""Va le rencontrer et parle-lui, et je m'occuperai du reste."" Le Prophète, que la paix et la bénédiction soient sur lui, l'épousa alors qu'elle était déjà mariée et veuve.",https://dorar.net/history/event/9,La Mecque honorable,"21.4225,39.8262"
10,"Le voyage du Prophète, que la paix et les bénédictions soient sur lui, pour la deuxième fois en Syrie.",28 ق هـ,ذي,596,"Lorsque le Messager d'Allah, que la paix et les bénédictions soient sur lui, atteignit vingt-cinq ans, il n'avait à La Mecque d'autre nom que ""Al-Amîn"" (le Digne de confiance), en raison des qualités de bien qu'il possédait. Son oncle Abu Talib lui dit : ""Ô mon neveu, je suis un homme sans fortune, et le temps est devenu difficile pour nous, et des années difficiles nous ont frappés, et nous n'avons ni ressources ni commerce. Voici la caravane de ton peuple qui s'apprête à sortir pour le Cham, et Khadija bint Khuwailid envoie des hommes de ton peuple dans ses caravanes, pour commercer avec son argent et en tirer des bénéfices. Si tu allais la voir et te proposais à elle, elle se précipiterait vers toi et te préférerait aux autres, en raison de ce qui lui est parvenu de ta pureté. Bien que je déteste que tu ailles au Cham et que je craigne pour toi des Juifs, nous ne pouvons nous en passer."" Khadija bint Khuwailid était une femme commerçante, noble et riche, avec un grand commerce qu'elle envoyait au Cham, sa caravane étant comparable à celles de la plupart des Quraysh. Elle louait des hommes et leur confiait de l'argent en partenariat. La réputation de la véracité des paroles du Prophète, que la paix et les bénédictions soient sur lui, de sa grande fiabilité et de la noblesse de son caractère parvint à Khadija. Elle l'envoya donc dans son commerce. Il sortit avec son serviteur Maysara jusqu'à ce qu'ils arrivent au Cham. Ses oncles lui recommandèrent de veiller sur les gens de la caravane jusqu'à leur arrivée au Cham. Ils descendirent sur le marché de Bosra, à l'ombre d'un arbre, près de l'ermitage d'un moine nommé Nestorius. Le moine regarda Maysara, qu'il connaissait, et dit : ""Ô Maysara, qui est cet homme qui est descendu sous cet arbre ?"" Maysara répondit : ""Un homme de Quraysh, originaire du Harem."" Le moine lui dit alors : ""Personne d'autre que des prophètes ne descend sous cet arbre."" Ensuite, le Messager d'Allah, que la paix et les bénédictions soient sur lui, vendit sa marchandise, c'est-à-dire son commerce, et acheta ce qu'il voulait acheter. Puis il revint en caravane vers La Mecque avec Maysara. Lorsqu'il arriva à La Mecque avec l'argent de Khadija, elle vendit ce qui était arrivé à un prix double, voire proche. Maysara lui raconta les paroles du moine et ce qu'il avait vu de la situation du Prophète, que la paix et les bénédictions soient sur lui. Elle se proposa alors à lui, qu'Allah soit satisfait d'elle. Elle était la plus noble des femmes de Quraysh en lignée, la plus grande en honneur et la plus riche en argent. Lorsqu'elle dit cela au Messager d'Allah, que la paix et les bénédictions soient sur lui, il en parla à ses oncles. Son oncle Hamza sortit avec lui et entra chez Khuwailid ibn Asad pour la demander en mariage. Le Prophète, que la paix et les bénédictions soient sur lui, l'épousa. Elle fut la première femme qu'il épousa, et il n'en épousa pas d'autre avant sa mort, qu'Allah soit satisfait d'elle.",https://dorar.net/history/event/10,Bostra,"32.5167,36.4833"
